commune,Population,region,Latitude,Longitude
Ajdir,5630.0,Région de Tanger-Tétouan-Al Hoceima,34.76709795,-3.934547135990813
Bni Boufrah,8401.0,Région de Tanger-Tétouan-Al Hoceima,35.0702783,-4.293097628179986
Senada,8059.0,Région de Tanger-Tétouan-Al Hoceima,35.079952,-4.215103
Bni Gmil Maksouline,7214.0,Région de Tanger-Tétouan-Al Hoceima,35.0033727,-4.4593064
Bni Gmil,7752.0,Région de Tanger-Tétouan-Al Hoceima,35.0843944,-4.3860609
Chakrane,3306.0,Région de Tanger-Tétouan-Al Hoceima,34.9106944,-3.9842710984938687
Arbaa Taourirt,3799.0,Région de Tanger-Tétouan-Al Hoceima,34.9319063,-3.8358492
Tifarouine,3318.0,Région de Tanger-Tétouan-Al Hoceima,35.025407799999996,-3.8957058227930847
Nekkour,7721.0,Région de Tanger-Tétouan-Al Hoceima,35.0152979,-3.8491728171178083
Ait Youssef Ou Ali,13830.0,Région de Tanger-Tétouan-Al Hoceima,35.1658927,-3.8950035450352853
Louta,4408.0,Région de Tanger-Tétouan-Al Hoceima,35.1106162,-3.889094
Imrabten,6983.0,Région de Tanger-Tétouan-Al Hoceima,35.0464725,-3.9655279604358005
Zaouiat Sidi Abdelkader,4150.0,Région de Tanger-Tétouan-Al Hoceima,34.9169677,-4.1286466
Bni Hadifa,4723.0,Région de Tanger-Tétouan-Al Hoceima,34.9959722,-4.187583706464574
Bni Abdellah,4939.0,Région de Tanger-Tétouan-Al Hoceima,35.0393452,-4.0650529826402
Izemmouren,6365.0,Région de Tanger-Tétouan-Al Hoceima,35.186229,-3.994415
Ait Kamra,8269.0,Région de Tanger-Tétouan-Al Hoceima,35.1434894,-3.9877266
Rouadi,6858.0,Région de Tanger-Tétouan-Al Hoceima,35.16072265,-4.172078407139621
Sidi Bouzineb,2756.0,Région de Tanger-Tétouan-Al Hoceima,34.8280918,-4.1005319
Bni Ammart,5583.0,Région de Tanger-Tétouan-Al Hoceima,34.8118942,-4.1581029
Sidi Boutmim,8462.0,Région de Tanger-Tétouan-Al Hoceima,34.9438831,-4.2931355
Zarkt,5601.0,Région de Tanger-Tétouan-Al Hoceima,34.9110821,-4.309755
Bni Bchir,5401.0,Région de Tanger-Tétouan-Al Hoceima,34.7775155,-4.3155163
Bni Bounsar,6498.0,Région de Tanger-Tétouan-Al Hoceima,34.8445768,-4.4229656
Bni Ahmed Imoukzan,7580.0,Région de Tanger-Tétouan-Al Hoceima,34.7829613,-4.4604307
Tamsaout,12856.0,Région de Tanger-Tétouan-Al Hoceima,34.8263454,-4.7530035
