Collectivités territoriales,Population,region
Chouafaa,21374.0,Région de Rabat-Salé-Kénitra
Sidi Boubker El Haj,21610.0,Région de Rabat-Salé-Kénitra
Khémisset,125834.0,Région de Rabat-Salé-Kénitra
Rommani,11117.0,Région de Rabat-Salé-Kénitra
Tiflet,103850.0,Région de Rabat-Salé-Kénitra
Sidi Allal El Bahraoui,29147.0,Région de Rabat-Salé-Kénitra
Ait Mimoune,7065.0,Région de Rabat-Salé-Kénitra
Ait Ouribel,9375.0,Région de Rabat-Salé-Kénitra
Majmaa Tolba,15447.0,Région de Rabat-Salé-Kénitra
El Ganzra,13792.0,Région de Rabat-Salé-Kénitra
Ait Yadine,21007.0,Région de Rabat-Salé-Kénitra
Sfassif,7071.0,Région de Rabat-Salé-Kénitra
Ait Siberne,4676.0,Région de Rabat-Salé-Kénitra
Sidi Allal Lamsadder,6875.0,Région de Rabat-Salé-Kénitra
Sidi El Rhandour,7644.0,Région de Rabat-Salé-Kénitra
Houderrane,6049.0,Région de Rabat-Salé-Kénitra
Maaziz,10812.0,Région de Rabat-Salé-Kénitra
Ait Ikkou,8179.0,Région de Rabat-Salé-Kénitra
Bouqachmir,2877.0,Région de Rabat-Salé-Kénitra
Ait Ichou,1454.0,Région de Rabat-Salé-Kénitra
Oulmes,19579.0,Région de Rabat-Salé-Kénitra
Tiddas,9013.0,Région de Rabat-Salé-Kénitra
Brachoua,11851.0,Région de Rabat-Salé-Kénitra
My Driss Aghbal,4583.0,Région de Rabat-Salé-Kénitra
Jemaat Moul Blad,5051.0,Région de Rabat-Salé-Kénitra
Laghoualem,12051.0,Région de Rabat-Salé-Kénitra
Marchouch,13017.0,Région de Rabat-Salé-Kénitra
Ain Sbit,10425.0,Région de Rabat-Salé-Kénitra
Ezzhiliga,14788.0,Région de Rabat-Salé-Kénitra
M'qam Tolba,15070.0,Région de Rabat-Salé-Kénitra
Sidi Abderrazak,14021.0,Région de Rabat-Salé-Kénitra
Ait Malek,3809.0,Région de Rabat-Salé-Kénitra
Ait Ali Ou Lahcen,5139.0,Région de Rabat-Salé-Kénitra
Ain Johra-Sidi Boukhalkhal,16644.0,Région de Rabat-Salé-Kénitra
Ait Belkacem,4396.0,Région de Rabat-Salé-Kénitra
Khemis Sidi Yahya,6837.0,Région de Rabat-Salé-Kénitra
Ait Bouyahia El Hajjama,4491.0,Région de Rabat-Salé-Kénitra
Sidi Kacem,75037.0,Région de Rabat-Salé-Kénitra
Mechraa Bel Ksiri,32615.0,Région de Rabat-Salé-Kénitra
Had Kourt,8554.0,Région de Rabat-Salé-Kénitra
Jorf El Melha,31976.0,Région de Rabat-Salé-Kénitra
Dar Gueddari,7826.0,Région de Rabat-Salé-Kénitra
Bni Oual,6623.0,Région de Rabat-Salé-Kénitra
Ain Dfali,23018.0,Région de Rabat-Salé-Kénitra
Moulay Abdelkader,7740.0,Région de Rabat-Salé-Kénitra
Sidi Azzouz,14484.0,Région de Rabat-Salé-Kénitra
Sidi Ahmed Benaissa,7685.0,Région de Rabat-Salé-Kénitra
Sidi Ameur Al Hadi,11703.0,Région de Rabat-Salé-Kénitra
Lamrabih,20154.0,Région de Rabat-Salé-Kénitra
Taoughilt,15013.0,Région de Rabat-Salé-Kénitra
Khnichet,26246.0,Région de Rabat-Salé-Kénitra
Oulad Nouel,11578.0,Région de Rabat-Salé-Kénitra
Sidi M'hamed Chelh,7977.0,Région de Rabat-Salé-Kénitra
Sidi Al Kamel,34016.0,Région de Rabat-Salé-Kénitra
Rmilat,19117.0,Région de Rabat-Salé-Kénitra
Dar Laaslouji,36072.0,Région de Rabat-Salé-Kénitra
Nouirate,26833.0,Région de Rabat-Salé-Kénitra
Al Haouafate,18528.0,Région de Rabat-Salé-Kénitra
Sefsaf,28106.0,Région de Rabat-Salé-Kénitra
Bab Tiouka,7626.0,Région de Rabat-Salé-Kénitra
Zirara,16829.0,Région de Rabat-Salé-Kénitra
Chbanate,10303.0,Région de Rabat-Salé-Kénitra
Zaggota,10245.0,Région de Rabat-Salé-Kénitra
Selfat,10366.0,Région de Rabat-Salé-Kénitra
Bir Taleb,11843.0,Région de Rabat-Salé-Kénitra
Tekna,7396.0,Région de Rabat-Salé-Kénitra
Sidi Slimane,95114.0,Région de Rabat-Salé-Kénitra
Sidi Yahia El Gharb,39946.0,Région de Rabat-Salé-Kénitra
Boumaiz,22693.0,Région de Rabat-Salé-Kénitra
Dar Bel Amri,32873.0,Région de Rabat-Salé-Kénitra
Azghar,11707.0,Région de Rabat-Salé-Kénitra
Ouled Ben Hammadi,13491.0,Région de Rabat-Salé-Kénitra
M'saada,22399.0,Région de Rabat-Salé-Kénitra
Ouled H'cine,33227.0,Région de Rabat-Salé-Kénitra
Sfafaa,24744.0,Région de Rabat-Salé-Kénitra
Kceibya,33007.0,Région de Rabat-Salé-Kénitra
Ameur Chamalia,21998.0,Région de Rabat-Salé-Kénitra
Béni Mellal,209594.0,Région de Béni Mellal-Khénifra
Kasba Tadla,48172.0,Région de Béni Mellal-Khénifra
Zaouiat Cheikh,25088.0,Région de Béni Mellal-Khénifra
El Ksiba,19964.0,Région de Béni Mellal-Khénifra
Ouled Gnaou,13366.0,Région de Béni Mellal-Khénifra
Ouled M'barek,21636.0,Région de Béni Mellal-Khénifra
Foum Oudi,16256.0,Région de Béni Mellal-Khénifra
Ouled Yaich,25785.0,Région de Béni Mellal-Khénifra
Sidi Jaber,20455.0,Région de Béni Mellal-Khénifra
Foum El Anceur,24232.0,Région de Béni Mellal-Khénifra
Naour,5389.0,Région de Béni Mellal-Khénifra
Dir El Ksiba,25851.0,Région de Béni Mellal-Khénifra
Tanougha,13773.0,Région de Béni Mellal-Khénifra
Taghzirt,20023.0,Région de Béni Mellal-Khénifra
Ait Oum El Bekht,7863.0,Région de Béni Mellal-Khénifra
Aghbala,13373.0,Région de Béni Mellal-Khénifra
Tizi N'isly,12547.0,Région de Béni Mellal-Khénifra
Boutferda,7952.0,Région de Béni Mellal-Khénifra
Guettaya,13153.0,Région de Béni Mellal-Khénifra
Semguet,8167.0,Région de Béni Mellal-Khénifra
Ouled Youssef,14247.0,Région de Béni Mellal-Khénifra
Ouled Said Loued,13441.0,Région de Béni Mellal-Khénifra
Azilal,48138.0,Région de Béni Mellal-Khénifra
Demnate,33635.0,Région de Béni Mellal-Khénifra
Ait M'hamed,23531.0,Région de Béni Mellal-Khénifra
Ait Abbas,13548.0,Région de Béni Mellal-Khénifra
Tabant,16401.0,Région de Béni Mellal-Khénifra
Ait Bou Oulli,11992.0,Région de Béni Mellal-Khénifra
Agoudi N'lkhair,11964.0,Région de Béni Mellal-Khénifra
Tamda Noumercid,12959.0,Région de Béni Mellal-Khénifra
Zaouiat Ahansal,11260.0,Région de Béni Mellal-Khénifra
Tisqi,5734.0,Région de Béni Mellal-Khénifra
Taounza,10254.0,Région de Béni Mellal-Khénifra
Moulay Aissa Ben Driss,13409.0,Région de Béni Mellal-Khénifra
Bzou,13602.0,Région de Béni Mellal-Khénifra
Rfala,9352.0,Région de Béni Mellal-Khénifra
Ait Taguella,8662.0,Région de Béni Mellal-Khénifra
Tanant,10891.0,Région de Béni Mellal-Khénifra
Foum Jemaa,9373.0,Région de Béni Mellal-Khénifra
Tabia,7354.0,Région de Béni Mellal-Khénifra
Bni Hassane,12390.0,Région de Béni Mellal-Khénifra
Ouaoula,26410.0,Région de Béni Mellal-Khénifra
Ait Majden,18538.0,Région de Béni Mellal-Khénifra
Tifni,10906.0,Région de Béni Mellal-Khénifra
Imlil,11175.0,Région de Béni Mellal-Khénifra
Sidi Boulkhalf,16229.0,Région de Béni Mellal-Khénifra
Ait Blal,7840.0,Région de Béni Mellal-Khénifra
Ait Oumdis,13908.0,Région de Béni Mellal-Khénifra
Ait Tamlil,18091.0,Région de Béni Mellal-Khénifra
Anzou,16554.0,Région de Béni Mellal-Khénifra
Tidili Fetouaka,13661.0,Région de Béni Mellal-Khénifra
Sidi Yacoub,18868.0,Région de Béni Mellal-Khénifra
Anergui,3976.0,Région de Béni Mellal-Khénifra
Bin El Ouidane,4605.0,Région de Béni Mellal-Khénifra
Isseksi,1464.0,Région de Béni Mellal-Khénifra
Ouaouizeght,13402.0,Région de Béni Mellal-Khénifra
Tiffert N'ait Hamza,3784.0,Région de Béni Mellal-Khénifra
Ait Ouqabli,3405.0,Région de Béni Mellal-Khénifra
Tagleft,16412.0,Région de Béni Mellal-Khénifra
Tabaroucht,3877.0,Région de Béni Mellal-Khénifra
Ait Mazigh,2765.0,Région de Béni Mellal-Khénifra
Tilougguite,11592.0,Région de Béni Mellal-Khénifra
Afourar,20215.0,Région de Béni Mellal-Khénifra
Timoulilt,6852.0,Région de Béni Mellal-Khénifra
Ait Ouaarda,1459.0,Région de Béni Mellal-Khénifra
Bni A'yat,23675.0,Région de Béni Mellal-Khénifra
Fquih Ben Salah,97380.0,Région de Béni Mellal-Khénifra
Souk Sebt Ouled Nemma,60293.0,Région de Béni Mellal-Khénifra
Ouled Ayad,24564.0,Région de Béni Mellal-Khénifra
Sidi Hammadi,12981.0,Région de Béni Mellal-Khénifra
Ouled Bourahmoune,14583.0,Région de Béni Mellal-Khénifra
Sidi Aissa Ben Ali,24503.0,Région de Béni Mellal-Khénifra
Ouled Zmam,30039.0,Région de Béni Mellal-Khénifra
Krifate,28601.0,Région de Béni Mellal-Khénifra
Hel Merbaa,9692.0,Région de Béni Mellal-Khénifra
Khalfia,13766.0,Région de Béni Mellal-Khénifra
Bradia,37064.0,Région de Béni Mellal-Khénifra
Bni Chegdale,10413.0,Région de Béni Mellal-Khénifra
Bni Oukil,14097.0,Région de Béni Mellal-Khénifra
Dar Ould Zidouh,30114.0,Région de Béni Mellal-Khénifra
Had Boumoussa,41154.0,Région de Béni Mellal-Khénifra
Ouled Nacer,26733.0,Région de Béni Mellal-Khénifra
Khenifra,123738.0,Région de Béni Mellal-Khénifra
M'rirt,46285.0,Région de Béni Mellal-Khénifra
Ouaoumana,8850.0,Région de Béni Mellal-Khénifra
Ait Ishaq,17847.0,Région de Béni Mellal-Khénifra
El Kbab,14580.0,Région de Béni Mellal-Khénifra
Sidi Yahya Ou Saad,6911.0,Région de Béni Mellal-Khénifra
Tighassaline,15788.0,Région de Béni Mellal-Khénifra
Ait Saadelli,2629.0,Région de Béni Mellal-Khénifra
Kerrouchen,6796.0,Région de Béni Mellal-Khénifra
Sidi Amar,1625.0,Région de Béni Mellal-Khénifra
Sidi Lamine,16501.0,Région de Béni Mellal-Khénifra
El Borj,3266.0,Région de Béni Mellal-Khénifra
Moha Ou Hammou Zayani,10444.0,Région de Béni Mellal-Khénifra
Aguelmam Azegza,6781.0,Région de Béni Mellal-Khénifra
Lehri,8669.0,Région de Béni Mellal-Khénifra
Sidi Hcine,2510.0,Région de Béni Mellal-Khénifra
Aguelmous,36560.0,Région de Béni Mellal-Khénifra
Had Bouhssoussen,7303.0,Région de Béni Mellal-Khénifra
Moulay Bouazza,7621.0,Région de Béni Mellal-Khénifra
Sebt Ait Rahou,8018.0,Région de Béni Mellal-Khénifra
El Hammam,9697.0,Région de Béni Mellal-Khénifra
Oum Rabia,7821.0,Région de Béni Mellal-Khénifra
Khouribga,195931.0,Région de Béni Mellal-Khénifra
Oued Zem,93776.0,Région de Béni Mellal-Khénifra
Bejaad,47209.0,Région de Béni Mellal-Khénifra
Boujniba,14722.0,Région de Béni Mellal-Khénifra
Hattane,9727.0,Région de Béni Mellal-Khénifra
Rouached,3353.0,Région de Béni Mellal-Khénifra
Chougrane,5591.0,Région de Béni Mellal-Khénifra
Tachraft,3082.0,Région de Béni Mellal-Khénifra
Ain Kaicher,3900.0,Région de Béni Mellal-Khénifra
Bni Bataou,4191.0,Région de Béni Mellal-Khénifra
Boukhrisse,4323.0,Région de Béni Mellal-Khénifra
Bni Zrantel,5533.0,Région de Béni Mellal-Khénifra
Oulad Gouaouch,2474.0,Région de Béni Mellal-Khénifra
Bni Ykhlef,8928.0,Région de Béni Mellal-Khénifra
Lagfaf,8560.0,Région de Béni Mellal-Khénifra
Boulanouare,15043.0,Région de Béni Mellal-Khénifra
Bir Mezoui,5617.0,Région de Béni Mellal-Khénifra
El Foqra,2965.0,Région de Béni Mellal-Khénifra
M'fassis,4937.0,Région de Béni Mellal-Khénifra
Oulad Abdoune,15860.0,Région de Béni Mellal-Khénifra
Oulad Azzouz,8983.0,Région de Béni Mellal-Khénifra
Ait Ammar,3392.0,Région de Béni Mellal-Khénifra
Oulad Ftata,2552.0,Région de Béni Mellal-Khénifra
Lagnadiz,6905.0,Région de Béni Mellal-Khénifra
Oulad Boughadi,8147.0,Région de Béni Mellal-Khénifra
Bni Smir,6725.0,Région de Béni Mellal-Khénifra
Kasbat Troch,8612.0,Région de Béni Mellal-Khénifra
Maadna,5595.0,Région de Béni Mellal-Khénifra
Oulad Fennane,6912.0,Région de Béni Mellal-Khénifra
Braksa,6948.0,Région de Béni Mellal-Khénifra
Oulad Aissa,4652.0,Région de Béni Mellal-Khénifra
Casablanca,3215935.0,Région de Casablanca-Settat
Méchouar de Casablanca,2101.0,Région de Casablanca-Settat
Mohammadia,194358.0,Région de Casablanca-Settat
Ain Harrouda,60804.0,Région de Casablanca-Settat
Bni Yakhlef,117653.0,Région de Casablanca-Settat
Ech-challalate,98015.0,Région de Casablanca-Settat
Sidi Moussa Ben Ali,12973.0,Région de Casablanca-Settat
Sidi Moussa El Majdoub,30254.0,Région de Casablanca-Settat
El Jadida,237464.0,Région de Casablanca-Settat
Azemmour,42098.0,Région de Casablanca-Settat
Lbir Jdid,30247.0,Région de Casablanca-Settat
Lamharza Essahel,20929.0,Région de Casablanca-Settat
Laghdira,26192.0,Région de Casablanca-Settat
Sidi Ali Ben Hamdouche,38169.0,Région de Casablanca-Settat
Chtouka,38025.0,Région de Casablanca-Settat
Haouzia,35777.0,Région de Casablanca-Settat
Oulad Rahmoune,33380.0,Région de Casablanca-Settat
My Abdellah,103993.0,Région de Casablanca-Settat
Ouled Hcine,36018.0,Région de Casablanca-Settat
Sidi M'hamed Akhdim,11038.0,Région de Casablanca-Settat
Ouled Ghanem,27895.0,Région de Casablanca-Settat
Sidi Abed,25935.0,Région de Casablanca-Settat
Oulad Aissa,25367.0,Région de Casablanca-Settat
Oulad Sidi Ali Ben Youssef,9641.0,Région de Casablanca-Settat
Ouled Frej,20176.0,Région de Casablanca-Settat
Zaouiat Lakouacem,11490.0,Région de Casablanca-Settat
Si Hsaien Ben Abderrahmane,6014.0,Région de Casablanca-Settat
Chaibate,9821.0,Région de Casablanca-Settat
Oulad Hamdane,12130.0,Région de Casablanca-Settat
Mettouh,26075.0,Région de Casablanca-Settat
Boulaouane,14740.0,Région de Casablanca-Settat
Mogress,16277.0,Région de Casablanca-Settat
Sidi Smail,32694.0,Région de Casablanca-Settat
Sebt Saiss,11052.0,Région de Casablanca-Settat
Zaouiat Saiss,11730.0,Région de Casablanca-Settat
Nouaceur,36326.0,Région de Casablanca-Settat
Bouskoura,200359.0,Région de Casablanca-Settat
Dar Bouazza,302970.0,Région de Casablanca-Settat
Oulad Azzouz,81048.0,Région de Casablanca-Settat
Ouled Salah,51621.0,Région de Casablanca-Settat
Tit Mellil,56019.0,Région de Casablanca-Settat
Mediouna,29972.0,Région de Casablanca-Settat
Lahraouyine,87977.0,Région de Casablanca-Settat
Sidi Hajjaj Oued Hassar,76362.0,Région de Casablanca-Settat
Almajjatia Oulad Taleb,95457.0,Région de Casablanca-Settat
Benslimane,67317.0,Région de Casablanca-Settat
Bouznika,55722.0,Région de Casablanca-Settat
El Mansouria,29139.0,Région de Casablanca-Settat
Fdalate,12700.0,Région de Casablanca-Settat
Oulad Yahya Louta,9612.0,Région de Casablanca-Settat
Moualine El Oued,9117.0,Région de Casablanca-Settat
Ahlaf,12116.0,Région de Casablanca-Settat
Rdadna Oulad Malek,4170.0,Région de Casablanca-Settat
Mellila,15692.0,Région de Casablanca-Settat
Oulad Ali Toualaa,5475.0,Région de Casablanca-Settat
Ziaida,14092.0,Région de Casablanca-Settat
Charrate,11266.0,Région de Casablanca-Settat
Sidi Bettache,7595.0,Région de Casablanca-Settat
Bir Ennasr,4256.0,Région de Casablanca-Settat
Ain Tizgha,21248.0,Région de Casablanca-Settat
Berrechid,168687.0,Région de Casablanca-Settat
El Gara,20467.0,Région de Casablanca-Settat
Oulad Abbou,10894.0,Région de Casablanca-Settat
Sidi Rahal Chatai,34431.0,Région de Casablanca-Settat
Had Soualem,74762.0,Région de Casablanca-Settat
Deroua,96619.0,Région de Casablanca-Settat
Lahsasna,10854.0,Région de Casablanca-Settat
Sidi El Mekki,9476.0,Région de Casablanca-Settat
Zaouiat Sidi Ben Hamdoun,9315.0,Région de Casablanca-Settat
Ben Maachou,8338.0,Région de Casablanca-Settat
Sidi Abdelkhaleq,6141.0,Région de Casablanca-Settat
Laghnimyine,18081.0,Région de Casablanca-Settat
Sahel Oulad H'riz,43776.0,Région de Casablanca-Settat
Soualem Trifiya,45285.0,Région de Casablanca-Settat
Oulad Ziyane,20004.0,Région de Casablanca-Settat
Kasbat Ben Mchich,15374.0,Région de Casablanca-Settat
Jaqma,10733.0,Région de Casablanca-Settat
Lambarkiyne,8863.0,Région de Casablanca-Settat
Riah,8421.0,Région de Casablanca-Settat
Foqra Oulad Aameur,6093.0,Région de Casablanca-Settat
Ouled Cebbah,7489.0,Région de Casablanca-Settat
Ouled Zidane,6554.0,Région de Casablanca-Settat
Settat,171556.0,Région de Casablanca-Settat
Ben Ahmed,33469.0,Région de Casablanca-Settat
Loulad,5772.0,Région de Casablanca-Settat
Oulad M'rah,8027.0,Région de Casablanca-Settat
El Borouj,19438.0,Région de Casablanca-Settat
N'khila,12787.0,Région de Casablanca-Settat
Lakhzazra,7455.0,Région de Casablanca-Settat
M'garto,7508.0,Région de Casablanca-Settat
Sidi Dahbi,8972.0,Région de Casablanca-Settat
Ouled M'hamed,9081.0,Région de Casablanca-Settat
Ain Dorbane-Lahlaf,9151.0,Région de Casablanca-Settat
Bouguargouh,9718.0,Région de Casablanca-Settat
Sidi Abdelkrim,13759.0,Région de Casablanca-Settat
Mniaa,11088.0,Région de Casablanca-Settat
Sidi Hajjaj,22360.0,Région de Casablanca-Settat
Oulad Fares,12096.0,Région de Casablanca-Settat
Mrizigue,7926.0,Région de Casablanca-Settat
Sgamna,9427.0,Région de Casablanca-Settat
Oulad Chbana,9513.0,Région de Casablanca-Settat
Oued Naanaa,7075.0,Région de Casablanca-Settat
Ras El Ain Chaouia,14244.0,Région de Casablanca-Settat
Oulad Fares El Halla,2521.0,Région de Casablanca-Settat
Oulad Bouali Nouaja,5393.0,Région de Casablanca-Settat
Meskoura,6159.0,Région de Casablanca-Settat
Oulad Amer,5871.0,Région de Casablanca-Settat
Laqraqra,10493.0,Région de Casablanca-Settat
Bni Khloug,12092.0,Région de Casablanca-Settat
Sidi Boumehdi,4150.0,Région de Casablanca-Settat
Sidi Ahmed El Khadir,9731.0,Région de Casablanca-Settat
Ain Blal,3992.0,Région de Casablanca-Settat
Oulad Freiha,11410.0,Région de Casablanca-Settat
Dar Chaffai,17411.0,Région de Casablanca-Settat
Sidi El Aidi,14165.0,Région de Casablanca-Settat
Mzamza Janoubia,22419.0,Région de Casablanca-Settat
Khemisset Chaouia,5104.0,Région de Casablanca-Settat
Oulad Said,8745.0,Région de Casablanca-Settat
Lahouaza,7018.0,Région de Casablanca-Settat
Mzoura,8426.0,Région de Casablanca-Settat
Gdana,8462.0,Région de Casablanca-Settat
Guisser,12189.0,Région de Casablanca-Settat
Rima,8203.0,Région de Casablanca-Settat
Oulad Sghir,13153.0,Région de Casablanca-Settat
Bni Yagrine,13099.0,Région de Casablanca-Settat
Toualet,11822.0,Région de Casablanca-Settat
Machraa Ben Abbou,9331.0,Région de Casablanca-Settat
Sidi Mohammed Ben Rahal,10511.0,Région de Casablanca-Settat
Sidi Bennour,56201.0,Région de Casablanca-Settat
Zmamra,13993.0,Région de Casablanca-Settat
Loualidia,21742.0,Région de Casablanca-Settat
Lmechrek,15770.0,Région de Casablanca-Settat
Oulad Si Bouhya,18535.0,Région de Casablanca-Settat
Laatatra,18928.0,Région de Casablanca-Settat
Bouhmame,23637.0,Région de Casablanca-Settat
Jabria,21071.0,Région de Casablanca-Settat
M'tal,8773.0,Région de Casablanca-Settat
Laamria,9957.0,Région de Casablanca-Settat
Bni Hilal,16767.0,Région de Casablanca-Settat
Bni Tsiriss,12794.0,Région de Casablanca-Settat
Laaounate,17486.0,Région de Casablanca-Settat
Metrane,9201.0,Région de Casablanca-Settat
Oulad Boussaken,5962.0,Région de Casablanca-Settat
Khmis Ksiba,5249.0,Région de Casablanca-Settat
Koudiat Bni Dghough,15550.0,Région de Casablanca-Settat
Tamda,9043.0,Région de Casablanca-Settat
Oulad Amrane,12059.0,Région de Casablanca-Settat
Kridid,14259.0,Région de Casablanca-Settat
Laagagcha,14059.0,Région de Casablanca-Settat
Lgharbia,22622.0,Région de Casablanca-Settat
Oulad Sbaita,25231.0,Région de Casablanca-Settat
Laghnadra,34680.0,Région de Casablanca-Settat
Saniat Berguig,28361.0,Région de Casablanca-Settat
Marrakech,1002697.0,Région de Marrakech-Safi
Méchouar-Kasba,12116.0,Région de Marrakech-Safi
Tassoultante,106013.0,Région de Marrakech-Safi
Loudaya,41761.0,Région de Marrakech-Safi
Ait Imour,14603.0,Région de Marrakech-Safi
Agafay,17771.0,Région de Marrakech-Safi
Sid Zouine,17130.0,Région de Marrakech-Safi
Souihla,32506.0,Région de Marrakech-Safi
Saada,91903.0,Région de Marrakech-Safi
Harbil,105790.0,Région de Marrakech-Safi
M'nabha,13565.0,Région de Marrakech-Safi
Ouled Dlim,14468.0,Région de Marrakech-Safi
Ouahat Sidi Brahim,36493.0,Région de Marrakech-Safi
Al Ouidane,37450.0,Région de Marrakech-Safi
Oulad Hassoune,27314.0,Région de Marrakech-Safi
Chichaoua,38452.0,Région de Marrakech-Safi
Imintanoute,25049.0,Région de Marrakech-Safi
Ait Hadi,8847.0,Région de Marrakech-Safi
Sidi Bouzid Arragragui,8622.0,Région de Marrakech-Safi
Lamzoudia,27004.0,Région de Marrakech-Safi
Oulad Moumna,7092.0,Région de Marrakech-Safi
Sid L'mokhtar,27083.0,Région de Marrakech-Safi
Ahdil,11130.0,Région de Marrakech-Safi
Sidi M'hamed Dalil,5619.0,Région de Marrakech-Safi
Saidate,6354.0,Région de Marrakech-Safi
Nfifa,6282.0,Région de Marrakech-Safi
Ouad L'bour,4918.0,Région de Marrakech-Safi
Afalla Issen,7221.0,Région de Marrakech-Safi
Timezgadiouine,6780.0,Région de Marrakech-Safi
Irohalen,5031.0,Région de Marrakech-Safi
Ain Tazitounte,4651.0,Région de Marrakech-Safi
Sidi Ghanem,8397.0,Région de Marrakech-Safi
Ait Haddou Youssef,5174.0,Région de Marrakech-Safi
Lalla Aaziza,7534.0,Région de Marrakech-Safi
Bouabout Amdlane,6405.0,Région de Marrakech-Safi
Rahhala,4859.0,Région de Marrakech-Safi
Bouabout,9825.0,Région de Marrakech-Safi
Kouzemt,3371.0,Région de Marrakech-Safi
Timlilt,5582.0,Région de Marrakech-Safi
Ichamraren,5707.0,Région de Marrakech-Safi
Sidi Abdelmoumen,7055.0,Région de Marrakech-Safi
Taouloukoult,9362.0,Région de Marrakech-Safi
Gmassa,10675.0,Région de Marrakech-Safi
Majjat,14708.0,Région de Marrakech-Safi
Douirane,17256.0,Région de Marrakech-Safi
Zaouia Annahlia,11722.0,Région de Marrakech-Safi
M'zouda,25342.0,Région de Marrakech-Safi
Assif El Mal,8002.0,Région de Marrakech-Safi
Adassil,7078.0,Région de Marrakech-Safi
Imindounit,10890.0,Région de Marrakech-Safi
Ait Ourir,56954.0,Région de Marrakech-Safi
Amizmiz,13840.0,Région de Marrakech-Safi
Tahannaout,16236.0,Région de Marrakech-Safi
Ait Sidi Daoud,21010.0,Région de Marrakech-Safi
Ait Faska,33076.0,Région de Marrakech-Safi
Sidi Abdellah Ghiat,43237.0,Région de Marrakech-Safi
Tamazouzte,16886.0,Région de Marrakech-Safi
Iguerferouane,12432.0,Région de Marrakech-Safi
Ghmate,28674.0,Région de Marrakech-Safi
Tidili Mesfioua,20283.0,Région de Marrakech-Safi
Tamaguert,10022.0,Région de Marrakech-Safi
Touama,11401.0,Région de Marrakech-Safi
Zerkten,18335.0,Région de Marrakech-Safi
Tighedouine,21161.0,Région de Marrakech-Safi
Ait Aadel,8724.0,Région de Marrakech-Safi
Ait Hkim-Ait Yzid,8104.0,Région de Marrakech-Safi
Abadou,10484.0,Région de Marrakech-Safi
Tazart,14584.0,Région de Marrakech-Safi
Asni,22637.0,Région de Marrakech-Safi
Ighil,4666.0,Région de Marrakech-Safi
Aghbar,3447.0,Région de Marrakech-Safi
Talat N'yaaqoub,7153.0,Région de Marrakech-Safi
Ijoukak,5633.0,Région de Marrakech-Safi
Imgdal,4782.0,Région de Marrakech-Safi
Ouirgane,7687.0,Région de Marrakech-Safi
Amghras,5966.0,Région de Marrakech-Safi
Anougal,4006.0,Région de Marrakech-Safi
Azgour,6208.0,Région de Marrakech-Safi
Tizguine,5185.0,Région de Marrakech-Safi
Dar Jamaa,6184.0,Région de Marrakech-Safi
Sidi Badhaj,5835.0,Région de Marrakech-Safi
Oulad Mtaa,6915.0,Région de Marrakech-Safi
Lalla Takarkoust,8419.0,Région de Marrakech-Safi
Ouazguita,5270.0,Région de Marrakech-Safi
Ourika,50558.0,Région de Marrakech-Safi
Sti Fadma,24159.0,Région de Marrakech-Safi
Oukaimden,4790.0,Région de Marrakech-Safi
Aghouatim,36258.0,Région de Marrakech-Safi
Moulay Brahim,11331.0,Région de Marrakech-Safi
Tameslohte,40283.0,Région de Marrakech-Safi
Kelâat Sraghna,106418.0,Région de Marrakech-Safi
Laattaouia,38405.0,Région de Marrakech-Safi
Sidi Rahal,10276.0,Région de Marrakech-Safi
Tamallalt,20528.0,Région de Marrakech-Safi
Oulad Aarrad,6065.0,Région de Marrakech-Safi
Choara,12249.0,Région de Marrakech-Safi
Laattaouia Ech-Chaibia,5910.0,Région de Marrakech-Safi
Dzouz,11527.0,Région de Marrakech-Safi
Fraita,10721.0,Région de Marrakech-Safi
Laatamna,9318.0,Région de Marrakech-Safi
Ouargui,10788.0,Région de Marrakech-Safi
Bouya Omar,14701.0,Région de Marrakech-Safi
Assahrij,16313.0,Région de Marrakech-Safi
Sour El Aaz,3755.0,Région de Marrakech-Safi
Oulad Khallouf,9172.0,Région de Marrakech-Safi
Louad Lakhdar,9125.0,Région de Marrakech-Safi
M'zem Sanhaja,10946.0,Région de Marrakech-Safi
Sidi Aissa Ben Slimane,19164.0,Région de Marrakech-Safi
Zemrane,14995.0,Région de Marrakech-Safi
Zemrane Charqia,29569.0,Région de Marrakech-Safi
Jouala,10283.0,Région de Marrakech-Safi
Jbiel,10593.0,Région de Marrakech-Safi
Oulad Sbih,6513.0,Région de Marrakech-Safi
Hiadna,12870.0,Région de Marrakech-Safi
Oulad Zarrad,13243.0,Région de Marrakech-Safi
Oulad Cherki,7185.0,Région de Marrakech-Safi
El Marbouh,9468.0,Région de Marrakech-Safi
Mayate,11443.0,Région de Marrakech-Safi
Znada,7230.0,Région de Marrakech-Safi
Oulad Yaacoub,6791.0,Région de Marrakech-Safi
Oulad El Garne,7728.0,Région de Marrakech-Safi
Lounasda,10866.0,Région de Marrakech-Safi
El Aamria,8625.0,Région de Marrakech-Safi
Sidi El Hattab,9638.0,Région de Marrakech-Safi
Sidi Moussa,8600.0,Région de Marrakech-Safi
Oulad Msabbel,6216.0,Région de Marrakech-Safi
Oulad Massaoud,4188.0,Région de Marrakech-Safi
Eddachra,6939.0,Région de Marrakech-Safi
